SPT_FRSTT_DIST,SPT_SAFE_CNTER_DIST,SPT_LFDAU_DIST,MBLZ_FFPWR_CNT,LYCRG_FIREMAN_CNT,OCCU_YEAR,OCCU_MT,damagearea,DURATION_MIN,SLOPE,CLMT_RAIN,CLMT_MAXTEM,CLMT_MAXWSWD,CLMT_MAXWS,CLMT_MINTEM,CLMT_MINSP,CLMT_AVGTEM,CLMT_AVGHUMID,CLMT_AVGDEWTEM,CLMT_AVGGT,SIGUNGU_NM_고성군,SIGUNGU_NM_동해시,SIGUNGU_NM_삼척시,SIGUNGU_NM_속초시,SIGUNGU_NM_양구군,SIGUNGU_NM_양양군,SIGUNGU_NM_영월군,SIGUNGU_NM_원주시,SIGUNGU_NM_인제군,SIGUNGU_NM_정선군,SIGUNGU_NM_철원군,SIGUNGU_NM_춘천시,SIGUNGU_NM_태백시,SIGUNGU_NM_평창군,SIGUNGU_NM_홍천군,SIGUNGU_NM_화천군,SIGUNGU_NM_횡성군,WETHR_구름조금,WETHR_맑음,WETHR_비,WETHR_흐림,OCCU_DAY_목요일,OCCU_DAY_수요일,OCCU_DAY_월요일,OCCU_DAY_일요일,OCCU_DAY_토요일,OCCU_DAY_화요일,IGN_BHF_산아래,IGN_BHF_산정상,IGN_BHF_산중턱,IGN_BHF_평지,SPCNWS_CN_강풍주의보,SPCNWS_CN_건조경보,SPCNWS_CN_건조주의보,SPCNWS_CN_대설주의보,SPCNWS_CN_풍랑경보,SPCNWS_CN_풍랑주의보,SPCNWS_CN_한파경보,SPCNWS_CN_한파주의보,OBJT_ID
21,6,0,21,0,2015,1,0.16,66,0.0,0.6,13.7,290,7.6,1.1,1007.8,7.1,34.9,-8.7,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1207
29,27,0,9,53,2015,1,0.2,178,9.870900154,0.2,-0.1,290,13.8,-8.9,1019.5,-4.4,58.5,-11.6,-5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1208
68,71,12,11,9,2015,2,0.1,82,30.33769989,4.5,17.2,158,8.6,3.5,1015.6,10.1,53.1,0.3,12.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1220
45,12,9,127,457,2015,2,18.0,4109,35.03010178,0.3,-1.6,320,9.6,-14.0,1014.6,-9.2,32.4,-23.7,-4.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1226
8,6,0,20,20,2015,2,0.2,80,3.01699996,0.5,7.7,230,11.9,-3.1,1015.9,2.5,56.5,-6.1,3.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1254
14,4,0,8,8,2015,3,0.01,63,38.66590118,0.0,11.9,110,6.5,-7.0,1016.9,0.9,50.6,-9.5,0.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1263
6,6,0,13,28,2015,3,0.2,95,26.00819969,12.0,12.5,320,5.8,-5.7,1021.2,2.7,58.1,-6.3,3.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1280
30,13,4,13,8,2015,3,0.1,81,9.64620018,0.0,16.0,270,4.5,-4.5,1018.9,5.6,40.4,-9.1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1284
22,14,0,11,60,2015,3,0.9,180,26.62859917,1.6,9.1,50,4.2,0.8,1019.0,5.4,70.4,0.1,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1285
6,7,0,25,5,2015,3,0.1,70,9.462300301,0.3,13.9,160,8.8,2.0,1019.1,8.2,44.5,-3.8,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1290
